X,Y,LAT,LONG,FC,DSG,SORT_NAME_,FULL_NAME_,FULL_NAM_1,SORT_NAM_1,FULL_NAM_2,FULL_NAM_3,NOTE,ADM1_1,ADM2,ADM3,NO_ADM4,ID_ADM4,NOM_ADM4,ADM4,bbox
-73.316667,18.35,18.35,-73.316667,P,PPL,NICOLAS,Nicolas,Nicolas,NICOLAS,Nicolas,Nicolas,,Sud,Aquin,AQUIN,10,731-08,10ème Guirand,GUIRAND,"(4:-73.3465678119548,18.33077566326642,-73.22652612178297,...)"
-71.816667,18.25,18.25,-71.816667,P,PPL,NANFIGUIER,Nan Figuier,Nan Figuier,NANFIGUIER,Nan Figuier,Nan Figuier,,Sud-Est,Belle Anse,THIOTTE,3,233-02,3ème Thiotte,THIOTTE,"(4:-71.88771841217482,18.2150704581353,-71.78029776083287,...)"
-72.6,19.9,19.9,-72.6,P,PPL,NANFIGUE,Nan Figue,Nan Figue,NANFIGUE,Nan Figue,Nan Figue,,,,,,,,,
-72.3,19.55,19.55,-72.3,P,PPL,MINCEROT,Mincerot,Mincerot,MINCEROT,Mincerot,Mincerot,,Nord,Saint Raphaël,DONDON,5,342-05,5ème Haut du Trou,HAUT DU TROU,"(4:-72.33117768430253,19.505737936157,-72.28406334264901,19.5597594353498)"
-72.333333,19.066667,19.066667,-72.333333,P,PPL,POTEMOT,Potemot,Potemot,POTEMOT,Potemot,Potemot,,Artibonite,Dessalines,PETITE RIVIERE DE L'ARTI,6,542-06,6ème Médor,MEDOR,"(4:-72.40759939089901,19.01039193324129,-72.22174291490347,...)"
-71.966667,18.466667,18.466667,-71.966667,P,PPL,POTDECHAMBRE,Pot de Chambre,Pot de Chambre,POTDECHAMBRE,Pot de Chambre,Pot de Chambre,,Ouest,Croix des Bouquets,GANTHIER,3,133-03,3ème Fonds Parisien,FOND PARISIEN,"(4:-72.03563431577089,18.34867191927384,-71.88068532976399,...)"
-71.794167,18.735278,18.735278,-71.794167,P,PPL,LAYAYE,Layaye,Layaye,LAYAYE,Layaye,Layaye,,Centre,Lascahobas,SAVANETTE,2,633-02,2ème La Haye,LA HAYE,"(4:-71.87323883080722,18.68530138025466,-71.7287664160371,...)"
-71.9,19.6,19.6,-71.9,P,PPL,PATRIO,Patrio,Patrio,PATRIO,Patrio,Patrio,,Nord-Est,Fort-Liberté,FORT LIBERTE,2,411-02,2ème Bayaha,BAYAHA,"(4:-71.90655014207522,19.55326055922757,-71.83359076779954,...)"
-72.35,19.716667,19.716667,-72.35,P,PPL,PATRICE,Patrice,Patrice,PATRICE,Patrice,Patrice,,Nord,Acul du Nord,ACUL DU NORD,1,321-01,1ère Camp louise,CHAMP LOUISE,"(4:-72.37682418219009,19.70356915319405,-72.32661567986958,...)"
-71.783333,19.4,19.4,-71.783333,P,PPL,PATOIS,Patois,Patois,PATOIS,Patois,Patois,,Nord-Est,Ouanaminte,MONT ORGANISE,1,423-01,1ère Savanette,SAVANETTE,"(4:-71.81919553024937,19.33171326835281,-71.69101527323613,...)"
-72.25,19.483333,19.483333,-72.25,P,PPL,NANLIMITE,Nan Limite,Nan Limite,NANLIMITE,Nan Limite,Nan Limite,,Nord,Saint Raphaël,DONDON,2,342-02,2ème Bassin Caiman,BASSIN CAIMAN,"(4:-72.257440980117,19.47691061043651,-72.21082518303564,19.5321681306549)"
-72.266667,19.05,19.05,-72.266667,P,PPL,NANLIANE,Nan Liane,Nan Liane,NANLIANE,Nan Liane,Nan Liane,,Artibonite,Dessalines,PETITE RIVIERE DE L'ARTI,6,542-06,6ème Médor,MEDOR,"(4:-72.40759939089901,19.01039193324129,-72.22174291490347,...)"
-71.8,19.316667,19.316667,-71.8,P,PPL,NANLETAT,Nan l’État,Nan l'Etat,NANLETAT,Nan l’État,Nan l'Etat,,Nord-Est,Valières,CARICE,2,442-02,2ème Rose Bonite,ROSE BONITE,"(4:-71.83685275005422,19.27538037480463,-71.75304917787713,...)"
-72.033333,19.583333,19.583333,-72.033333,P,PPL,LAUDRY,Laudry,Laudry,LAUDRY,Laudry,Laudry,,Nord-Est,Trou du Nord,TROU DU NORD,3,431-03,3ème Roche Plate,ROCHE PLATE,"(4:-72.09386509629701,19.53471825184602,-71.99787509615862,...)"
-72.1,19.583333,19.583333,-72.1,P,PPL,LATRESSAINTE,La Très Sainte,La Tres Sainte,LATRESSAINTE,La Très Sainte,La Tres Sainte,,Nord-Est,Trou du Nord,SAINTE SUZANE,1,432-01,1ère Foulon,FOULON,"(4:-72.12212473217051,19.57972483083643,-72.06851057730114,...)"
-71.95,19.1,19.1,-71.95,P,PPL,LATREMARE,Latrémare,Latremare,LATREMARE,Latrémare,Latremare,,Centre,Hinche,HINCHE,2,611-02,2ème Marmont,MARMONT,"(4:-72.04947442520438,19.01698524087635,-71.89814311771056,...)"
-72.516667,18.433333,18.433333,-72.516667,P,PPL,LATOURNELLE,La Tournelle,La Tournelle,LATOURNELLE,La Tournelle,La Tournelle,,Ouest,Léogâne,LEOGANE,6,121-04,6ème Oranger,ORANGERS,"(4:-72.55966745898587,18.41734812841355,-72.4943937223922,...)"
-72.516667,18.433333,18.433333,-72.516667,P,PPL,LATOURNELE,La Tournele,La Tournele,LATOURNELE,La Tournele,La Tournele,,Ouest,Léogâne,LEOGANE,6,121-04,6ème Oranger,ORANGERS,"(4:-72.55966745898587,18.41734812841355,-72.4943937223922,...)"
